ID,Name,Address,Unit No,Postal Code,Primary Contact Last Name,Primary Contact First Name,Phone,Phone Ext,Industry,Employees at Facility,Latitude,Longitude,Number,Street,City,State,Country
24142,AA Floors More Ltd,524 Evans Ave,,M8W 2V4,Prisiajnyj,Ruslan,416-201-9611,,Hardware Stores,1,43.612876,-79.541322,524,Evans Ave,Toronto,ON,CA
25111,AAMCO TRANSMISSION,2941 Eglinton Ave E,,M1J 2E5,CHOW,JACK,416-431-5352,,General Automotive Repair,6,43.739512,-79.234426,2941,Eglinton Ave E,Toronto,ON,CA
23193,AAMED Technologies,186 Bartley Drive,4,M4A 1E1,Castillo,Pablo,416-285-4144,,Medical Equipment & Supplies Mfg.,4,43.721034,-79.313186,186,Bartley Dr,Toronto,ON,CA
222,ABC Climate Control Systems Inc,54 Bethridge Rd,,M9W 1N1,Sorrentino,Enzo,416-246-1782,,All Other Plastic Product Mfg.,386,43.708581,-79.574488,54,Bethridge Rd,Toronto,ON,CA
185,ABC INOAC Exterior Systems,220 Brockport Drive,,M9W 5S1,Sorrentino,Enzo,416-246-1782,,Motor Vehicle Plastic Parts Mfg.,334,43.703,-79.589601,220,Brockport Dr,Toronto,ON,CA
22827,ABM Auto Center,12 Elrose Ave,,M9M 2H6,Nguyen,Thanh,416-744-1173,,"Automotive Body, Paint & Interior R&M",3,43.717938,-79.526079,12,Elrose Ave,Toronto,ON,CA
22440,AC Fire Alarm Safety Inc,99 Advance Road,2,M8Z 2S6,Yari,Ali,416-232-9653,,Building Inspection Services,2,43.635642,-79.519971,99,Advance Rd,Toronto,ON,CA
22723,AD Fire Protection Systems Inc,420 Tapscott Road,5,M1B 1Y4,Babin,Richard,416-292-2361,240,All Other Non-Metallic Mineral Product Mfg.,34,43.808233,-79.235123,420,Tapscott Rd,Toronto,ON,CA
24027,ADA Precision Machine Tool Co Ltd,30 Vansco Road,,M8Z 5J4,Picken,Jon,416-252-6100,,Machine Shops,4,43.622461,-79.535808,30,Vansco Rd,Toronto,ON,CA
24165,ADDental Laboratories Limited,726 Bloor St West,304,M6G 4A1,Aviles,Gilda,416-532-8137,,Offices of All Other Health Practitioners,6,43.663847,-79.418282,726,Bloor St W,Toronto,ON,CA
22203,ADL Process Inc,500 Keele St,205,M6N 3C9,D'Alfonso,Adrian,416-769-5625,,Waste Treatment & Disposal,28,43.668468,-79.467324,500,Keele St,Toronto,ON,CA
163,AEP Canada Inc,595 Coronation Drive,,M1E 2K4,Gibula,John,647-436-3508,,Plastic Film and Sheet Manufacturing,88,43.765273,-79.162083,595,Coronation Dr,Toronto,ON,CA
22866,AFP Industries,2500 Lawrence Ave E,6,M1P 2R7,Mitchell,Deborah,416-759-4212,22,Other Metalworking Machinery Mfg.,12,43.75213,-79.267857,2500,Lawrence Ave E,Toronto,ON,CA
24249,AG Simpson Automotive Inc Scarborough Plant,675 Progress Avenue,,M1H 2W9,Pestowka,Maurice,519-624-7910,,Motor Vehicle Metal Stamping,45,43.775968,-79.247673,675,Progress Ave,Toronto,ON,CA
25555,AGT Photomount,22 Lepage Court,,M3J 1Z9,Marano,Sonia,416-630-2900,,Stationery Product Mfg.,10,43.70011,-79.4163,,,Toronto,ON,CA
25333,AH Printing Inc,585 Middlefield Road,24,M1V 4Y5,Zhang,Howard,416-754-3754,,Digital Printing,3,43.811303,-79.257441,585,Middlefield Rd,Toronto,ON,CA
22136,AH Printing Inc,585 Middlefield Road,24,M1V 4Y5,Zhang,Hao,416-754-3754,,Quick Printing,2,43.811303,-79.257441,585,Middlefield Rd,Toronto,ON,CA
23250,AHMED IMAM,730 Yonge Street,1,M4Y 2B7,ABDOLLAHI,AZADEH,416-920-4114,,Quick Printing,16,43.668884,-79.386952,730,Yonge St,Toronto,ON,CA
23976,AL Plastics,6821 Steeles Ave West,,M9V 4R9,Marion,Stephanie,416-744-9222,,All Other Plastic Product Mfg.,1,43.784126,-79.483129,,Steeles Ave W,Toronto,ON,CA
25260,ALEXANDRA DRY CLEANERS,2716 Yonge St,,M4N 2H9,Kee,Esther,416-909-1210,,Coin-Operated Laundries & Dry Cleaners,1,43.717665,-79.400955,2716,Yonge St,Toronto,ON,CA
25312,ALL HOUR SIGNS INC,100 NUGGET AVE,1,M1S 3A7,PIERCEY,RALPH,416-916-4441,,Digital Printing,4,43.79408,-79.256509,100,Nugget Ave,Toronto,ON,CA
25293,ALVARADO DENTURE CLINIC,658 Pharmacy Avenue,,M1L 3H5,Alvarado,Alfredo,416-694-5449,,Offices of All Other Health Practitioners,2,43.711659,-79.292091,658,Pharmacy Ave,Toronto,ON,CA
22464,ALine Precision Tool Ltd,51 McCormack Street,,M6N 1X8,Chudzicki,Greg,416-769-4557,102,Machine Shops,30,43.6763,-79.474424,51,McCormack St,Toronto,ON,CA
22615,AM Dry Cleaners And Alterations,790A  O'Connor Drive,,M4B 2S6,LIN,LUCY,416-285-0174,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),3,43.704783,-79.313623,790,O'connor Dr,Toronto,ON,CA
21930,AMK Emission Check Inc,1545 Warden Ave,B,M1R 2S9,Sakaguchi,Ken,416-335-8378,,All Other Automotive R&M,13,43.764124,-79.3008,1545,Warden Ave,Toronto,ON,CA
21987,AML Auto Service,126 Laird Drive,,M4G 3V3,French,Art,416-423-6209,,General Automotive Repair,7,43.707118,-79.362471,126,Laird Dr,Toronto,ON,CA
25212,ANN Service,101 Toro Road,44,M3J 2Z1,Juhasz,Lajos,416-398-5333,,General Automotive Repair,1,43.761369,-79.482551,101,Toro Rd,Toronto,ON,CA
24519,ANN Service,101 Toro Rd,44,M3J 2Z1,JUHASZ,LAJOS,416-398-5333,,General Automotive Repair,1,43.761369,-79.482551,101,Toro Rd,Toronto,ON,CA
24463,ANU Machine Tools,445 Midwest Rd,19,M1P 4Y9,Muthu,Uthay,416-916-7336,,Machine Shops,2,43.765519,-79.271317,445,Midwest Rd,Toronto,ON,CA
22536,APCO Industries Co Limited,10 Industrial Street,,M4G 1Z1,Grierson,David,416-421-6161,114,Chemical (exc. Agr.) & Allied Product Whl.,16,43.707801,-79.360838,10,Industrial St,Toronto,ON,CA
22548,ARBO Engineering Inc,3 Whitehorse Road,4,M3J 3G8,Zaugg,Ruth,416-636-7057,121,Material Handling Equipment Mfg.,5,43.755506,-79.469301,3,Whitehorse Rd,Toronto,ON,CA
24031,ASB Heating Elements Ltd,20 Bethridge Rd,,M9W 1N1,Rondina,Anthony,416-743-9977,,All Other Electrical Equip. & Component Mfg.,40,43.708833,-79.569399,20,Bethridge Rd,Toronto,ON,CA
24711,AST Stone,587 Tretheway Drive,,M6M 4B8,Grodzki,Chris,416-833-7647,,All Other Non-Metallic Mineral Product Mfg.,16,43.696073,-79.492456,587,Trethewey Dr,Toronto,ON,CA
24274,AT Designs,70 Production Drive,,M1H 2X8,Kehlbreier,Edward,416-289-0509,12,Jewellery & Silverware Mfg.,55,43.778835,-79.237175,70,Production Dr,Toronto,ON,CA
24018,ATS Retail Solutions,96 Disco Road,,M9W 0A3,Lelli,Maurizio,416-679-7979,,"General Trucking, Long Distance, Truck-Load",150,43.701764,-79.59769,96,Disco Rd,Toronto,ON,CA
25287,AUTO ZONE CENTRE INC,1960 LAWRENCE AVE EAST,9,M1R 2Z1,DAVOUDY,SERJ,416-755-0005,,Automobile & Light-Duty Motor Vehicle Mfg.,2,43.744962,-79.298236,1960,Lawrence Ave E,Toronto,ON,CA
25320,Aamco Transmission,2941 Eglinton Ave E,,M1J 2E5,Varey,Chris,416-431-5352,,Other Automotive Mechanical & Electrical R&M,6,43.739512,-79.234426,2941,Eglinton Ave E,Toronto,ON,CA
23753,Ab's Auto Repair Inc,2272 Kingston Rd,,M1N 1T9,Hajiani,Abdul,416-266-7277,,General Automotive Repair,2,43.705319,-79.252516,2272,Kingston Rd,Toronto,ON,CA
25263,Abacus Custom Counter Tops,70 Milner Ave,6,M1S 3P8,Petralito,Charlie,647-436-9374,,Wood Kitchen Cabinet & Counter Top Mfg.,2,43.784226,-79.251381,70,Milner Ave,Toronto,ON,CA
24279,Abacus Furniture,915 Oxford Street,,M8Z 5T3,Colwin,Robert,416-251-7251,21,Other Wood Household Furniture Mfg.,10,43.61895,-79.516212,915,Oxford St,Toronto,ON,CA
24500,Abart Engineering Limited,383 Ellis Park Road,1002,M6S 5B2,Koehle,Hans,416-485-0771,,Engineering Services,1,43.652094,-79.470578,383,Ellis Park Rd,Toronto,ON,CA
24412,Abbot Environmental Ltd,445 Midwest Rd,27-28,M1P 4Y9,Rumball,Patrick,416-438-5502,,All Other Special Trade Contracting,10,43.765519,-79.271317,445,Midwest Rd,Toronto,ON,CA
25215,Abe's Service Centre,434 Wilson Avenue,,M3H 1T6,Oliel,Gilbert,416-633-2237,,General Automotive Repair,4,43.73582,-79.44312,434,Wilson Ave,Toronto,ON,CA
24502,Able Seal Design,5533 Steeles Ave West,11,M9L 1S7,Childs,David,416-741-0750,,"Machinery, Equip. & Supplies Agents & Brokers",21,43.767222,-79.560324,5533,Steeles Ave W,Toronto,ON,CA
22884,Above All Awnings,75 Glenmore Rd,,M4L 3M2,Brow,Tim,416-698-3592,,Textile Bag & Canvas Mills,3,43.67793,-79.310609,75,Glenmore Rd,Toronto,ON,CA
24535,Abra Dry Cleaners,871 Bloor St W,,M6G 1M4,Hu,Hong Tao,416-627-8278,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),11,43.66192,-79.42482,871,Bloor St W,Toronto,ON,CA
25531,Abs Metalworks Ltd,800 Arrow Rd,17,M9M 2Z8,Soares,Amaro,416-646-1373,,Machine Shops,4,43.748682,-79.53289,800,Arrow Rd,Toronto,ON,CA
23501,Academy Auto Collision,2207 Jane Street,,M3M 1A5,Bonacci,Mark,416-247-7821,,"Automotive Body, Paint & Interior R&M",7,43.723119,-79.508571,2207,Jane St,Toronto,ON,CA
22456,Academy Of Learning,702 Pape Ave,,M4K 3S7,Davies,Biju,416-422-5627,,Educational Support Services,7,43.679403,-79.345314,702,Pape Ave,Toronto,ON,CA
23954,Acadian Platers CoLtd,315 Rexdale Blvd,,M9W 1R8,Sutherland,Jim,905-564-1711,200,"Coating, Engraving & Heat Treating Activities",30,43.713763,-79.583472,315,Rexdale Blvd,Toronto,ON,CA
24718,Access Group Inc,89 Tycos Dr,101,M6B 1W3,VISENTIN,DONNA,416-789-5542,228,"All Other Misc. Store Retailers, n.e.c.",23,43.704356,-79.456853,89,Tycos Dr,Toronto,ON,CA
23458,AccuForm Machine Tool CoLtd,52 Carrier Dr,4,M9W 5S5,Spasoski,Bob,416-798-0980,,Cold-Rolled Steel Shape Mfg.,5,43.738806,-79.608724,52,Carrier Dr,Toronto,ON,CA
24506,Accuenergy,2 Lansing Square,1001,M2J 4P8,Wang,Liang,416-497-4100,222,Electrical Wiring & Construction Supplies Whl,8,43.774249,-79.326105,2,Lansing Sq,Toronto,ON,CA
22629,Accurate Impressions Ltd,49 Laird Drive,,M4G 3T4,Bergeron,Richard,416-429-9161,,Digital Printing,8,43.704287,-79.36073,49,Laird Dr,Toronto,ON,CA
25225,Accurate Repairs,250 Tempo Ave,,M2H 2N8,Sheppard,Doug,416-266-2791,202,Office & Store Machinery & Equipment Whl.,20,43.80631,-79.339394,250,Tempo Ave,Toronto,ON,CA
25284,Accurate Rolal Co Ltd,72 Northline Road,,M4B 3E5,Hogan,Jim,416-576-1245,,Other Printing,22,43.716545,-79.30953,72,Northline Rd,Toronto,ON,CA
24811,Accurate Rolal Co Ltd,72 Northline Road,,M4B 3E5,Davis,Erick,416-751-6922,229,Other Printing,17,43.716545,-79.30953,72,Northline Rd,Toronto,ON,CA
22666,Accuscreen Supplies Inc,5250 Finch Ave E,10,M1S 5A4,Jackson,Tom,416-751-1630,,Support Activities for Printing,3,43.81134,-79.253898,5250,Finch Ave E,Toronto,ON,CA
24308,Ace Auto Detailing,102 Turbine Dr,2,M9L 2S2,Kim,Bogeun,416-895-4323,,Car Washes,1,43.766289,-79.55791,102,Turbine Dr,Toronto,ON,CA
589,Ace Bakery Limited North York,1 Hafis Road,,M6M 2V6,Malfara,Raffaela,416-988-0848,,Commercial Bakeries & Frozen Product Mfg.,340,43.705903,-79.469975,1,Hafis Rd,Toronto,ON,CA
25018,Ace Cleaners,924 Eglinton Ave West,,M6C 2C2,Ahn,Kwang Hyun,416-785-3260,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),2,43.70063,-79.428285,924,Eglinton Ave W,Toronto,ON,CA
23983,Ace Kelly Dry Cleaners Inc,1912 Avenue Road ,,M5M 4A1,Avansian,Ida,416-882-7682,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),3,43.697797,-79.424599,,Ava Rd,Toronto,ON,CA
24699,Acme Shelving And Store Fixtures,360 Magnetic Dr,1,M3J 2C4,De Sousa,Carlos,416-661-2442,29,"All Other Misc. Store Retailers, n.e.c.",16,43.78281,-79.473842,360,Magnetic Dr,Toronto,ON,CA
23773,Acrylic Artisans Limited,530 Coronation Drive,12,M1E 5C8,McGhee,Peter,416-724-7570,,All Other Plastic Product Mfg.,2,43.76522,-79.165463,530,Coronation Dr,Toronto,ON,CA
25705,Action Honda,4334 Kingston Rd,,M1E 2M8,So,Philip,416-281-1234,,"Automotive Body, Paint & Interior R&M",5,43.765588,-79.192414,4334,Kingston Rd,Toronto,ON,CA
22899,Action Hydraulics Limited,797 Garyray Drive,,M9L 1R2,Mohan,Alex,416-745-4900,,All Other General-Purpose Machinery Mfg.,15,43.764769,-79.557792,797,Garyray Dr,Toronto,ON,CA
24339,ActivExhaust,1865 Birchmount Road,,M1P 2J5,Kouay,Chris,416-445-9610,291,All Other Misc. Fabricated Metal Product Mfg.,250,43.768771,-79.291282,1865,Birchmount Rd,Toronto,ON,CA
23832,Active Green Ross,1935 Lawrence Ave E,,M1R 3Y8,Saravanamuthu,Ramesh,416-752-3662,,General Automotive Repair,6,43.744051,-79.298919,1935,Lawrence Ave E,Toronto,ON,CA
24888,Active Green Ross,73 Bridgeland Ave,,M6A 1Y7,Ali,Mohamud,416-789-1446,,Tire Dealers,4,43.725809,-79.460877,73,Bridgeland Ave,Toronto,ON,CA
23950,Active Metal Finishing Co Ltd,43 Advance Road,,M8Z 2S6,Pochkhanawala,Ron,416-233-9810,,"Coating, Engraving & Heat Treating Activities",45,43.634133,-79.526728,43,Advance Rd,Toronto,ON,CA
22474,Active Tire Auto Centre Inc,186 The Queensway,,M8Y 1J3,Sganga,Ralph,416-259-4684,,General Automotive Repair,7,43.630366,-79.486108,186,The Queensway,Toronto,ON,CA
22435,Actomaltamira Maintenance,44 Cawthra Avenue,,M6N 5B3,Fatter,John,416-762-9982,,Food (Health) Supplement Stores,2,43.669287,-79.464069,44,Cawthra Ave,Toronto,ON,CA
22591,Adar Automotive,1170 Sheppard Ave West,33,M3K 2A3,Berznoger,Sol,416-636-0831,,General Automotive Repair,3,43.755488,-79.471565,1170,Sheppard Ave W,Toronto,ON,CA
15535,Adelphi Cleaners,2070 Lawrence Ave E,,M1R 2Z5,Ye,Li Chan,416-755-6731,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),2,43.746024,-79.293947,2070,Lawrence Ave E,Toronto,ON,CA
23230,Adfactor Inc,1079 College Street,,M6H 1B4,McBain,Rob,416-531-7907,,Quick Printing,2,43.652587,-79.431829,1079,College St,Toronto,ON,CA
24304,Adong Foods,2300 Finch Ave W,31,M9M 2Y3,Tran,Kien Anh,416-401-8830,,Rendering & Meat Processing from Carcasses,5,43.75362,-79.542273,2300,Finch Ave W,Toronto,ON,CA
24289,Adorn Graphics Printing Inc,4141 Weston Road,4,M9L 2S5,Patel,Jigarkumar,416-743-1723,,Quick Printing,4,43.767694,-79.545643,4141,Weston Rd,Toronto,ON,CA
25243,Advanced Automotive,14 Coldwater Rd,,M3B 1Y7,Ross,Edward,416-447-0001,,Automotive Parts & Accessories Stores,8,43.75543,-79.359252,14,Coldwater Rd,Toronto,ON,CA
24495,Affordable Burials And Cremations,733 Mount Pleasant Road,,M4S 2N4,Newbigging,Paul,416-489-8811,,Funeral Homes,10,43.707142,-79.389311,733,Mount Pleasant Rd,Toronto,ON,CA
22703,Affordable Muffler,2207 Kingston Rd,,M1N 1T7,Veerasammy,Subryan,416-264-5094,,Automotive Exhaust System Repair,1,43.70336,-79.252463,2207,Kingston Rd,Toronto,ON,CA
23870,Affordable Rubbish Removal Ltd,111 Manitoba St,,M8Y 1E2,Campos,William,416-253-4476,,Waste Collection,1,43.622974,-79.493523,111,Manitoba St,Toronto,ON,CA
23239,Afghan Auto Service Ltd,361 Ryding Ave,,M6N 1H6,Waziri,Ahmed Waheed,416-766-2855,,General Automotive Repair,3,43.667904,-79.482532,361,Ryding Ave,Toronto,ON,CA
23904,Agape Cleaners,2466 Eglinton Ave East,9,M1K 5J8,Suh,Jong Soon,416-266-4562,,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),1,43.734465,-79.261049,2466,Eglinton Ave E,Toronto,ON,CA
23424,Agincourt Pulmonary Services,240 Alton Towers Circle,208,M1V 4P3,Kwong,Jenny,416-321-2613,,Medical & Diagnostic Laboratories,5,43.826252,-79.277365,240,Alton Towers Cir,Toronto,ON,CA
581,Agropur Cooperative,1275 Lawrence Ave E,,M3A 3P9,D'AMOUR,ROGER,514-236-6404,,Fluid Milk Mfg.,350,43.738906,-79.326884,1275,Lawrence Ave E,Toronto,ON,CA
23474,Ah Fong Food,328 Passmore Ave,52,M1V 5J5,Li,Jie Zhen,416-321-0038,,"Fruit & Vegetable Canning, Pickling & Drying",12,43.828525,-79.263412,328,Passmore Ave,Toronto,ON,CA
25114,Ah Fong Products Ltd,328 Passmore Ave,52,M1V 5J5,Li,Janice,416-321-0038,,Frozen Food Mfg.,20,43.828525,-79.263412,328,Passmore Ave,Toronto,ON,CA
